Source,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,corrected_concentration_lower,correction_factor_upper,corrected_concentration_upper
drinkingwater,34,0.4,5000,10.1016/j.jwpe.2020.101884,VOSS|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,19.04,0.86,29.3,0.34,11.43
drinkingwater,36,0.4,5000,10.1016/j.jwpe.2020.101884,Master_kong|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,20.16,0.86,31.02,0.34,12.1
drinkingwater,44,0.4,5000,10.1016/j.jwpe.2020.101884,Kun_Lun_Shan|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,24.64,0.86,37.91,0.34,14.79
drinkingwater,28,0.4,5000,10.1016/j.jwpe.2020.101884,Wahaha|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,15.68,0.86,24.13,0.34,9.41
drinkingwater,10,0.4,5000,10.1016/j.jwpe.2020.101884,C'estbon|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,5.6,0.86,8.62,0.34,3.36
drinkingwater,14,0.4,5000,10.1016/j.jwpe.2020.101884,Run_Tian_Cui|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,7.84,0.86,12.06,0.34,4.71
drinkingwater,8,0.4,5000,10.1016/j.jwpe.2020.101884,Ever_Grande|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,4.48,0.86,6.89,0.34,2.69
drinkingwater,4,0.4,5000,10.1016/j.jwpe.2020.101884,Ocean_AQUA|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,2.24,0.86,3.45,0.34,1.34
drinkingwater,12,0.4,5000,10.1016/j.jwpe.2020.101884,Ganten_Mineral_Water|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,6.72,0.86,10.34,0.34,4.03
drinkingwater,18,0.4,5000,10.1016/j.jwpe.2020.101884,Nong_Fu|10.1016/j.jwpe.2020.101884,N/A,1.09,1.64,2.19,0.56,10.08,0.86,15.51,0.34,6.05
